Tiempo_s,Canal_1,Canal_2
5.7109,-2610,-2059
5.7188,-2746,-2058
5.7266,-2779,-1916
5.7344,-2650,-1937
5.7422,-2573,-2005
5.7500,-2640,-2057
5.7578,-2591,-1946
5.7656,-2646,-1743
5.7734,-2742,-1968
5.7812,-2541,-2127
5.7891,-2445,-2108
5.7969,-2816,-2186
5.8047,-2796,-2061
5.8125,-2688,-1929
5.8203,-2788,-2349
5.8281,-2608,-2320
5.8359,-2538,-2232
5.8438,-2822,-2225
5.8516,-2712,-1972
5.8594,-2539,-1813
5.8672,-2722,-2373
5.8750,-2972,-2632
5.8828,-3210,-2395
5.8906,-3314,-2340
5.8984,-3238,-2556
5.9062,-3251,-2372
5.9141,-3272,-2423
5.9219,-3285,-2670
5.9297,-3383,-2429
5.9375,-3551,-2185
5.9453,-3425,-2789
5.9531,-3343,-2965
5.9609,-3467,-2731
5.9688,-3503,-2451
5.9766,-3211,-2502
5.9844,-3114,-2698
5.9922,-3198,-2593
6.0000,-3264,-2387
6.0078,-3364,-2721
6.0156,-3358,-2698
6.0234,-3212,-2595
6.0312,-3285,-2703
6.0391,-3406,-2528
6.0469,-3199,-2397
6.0547,-3090,-2791
6.0625,-3313,-2542
6.0703,-3428,-2506
6.0781,-3255,-2918
6.0859,-3185,-2826
6.0938,-3323,-2665
6.1016,-3614,-2865
6.1094,-3696,-2754
6.1172,-3587,-2653
6.1250,-3595,-2504
6.1328,-3644,-2600
6.1406,-3601,-2660
6.1484,-3703,-2727
6.1562,-3726,-2826
6.1641,-3678,-2919
6.1719,-3592,-2860
6.1797,-3717,-2875
6.1875,-3828,-2646
6.1953,-3544,-2665
6.2031,-3445,-2986
6.2109,-3702,-3004
6.2188,-3725,-2846
6.2266,-3639,-2914
6.2344,-3596,-2798
6.2422,-3560,-2783
6.2500,-3516,-2967
6.2578,-3585,-2944
6.2656,-3570,-2716
6.2734,-3552,-2804
6.2812,-3439,-3008
6.2891,-3585,-3039
6.2969,-3813,-2875
6.3047,-3514,-2799
6.3125,-3340,-3036
6.3203,-3534,-3038
6.3281,-3586,-2639
6.3359,-3524,-2760
6.3438,-3531,-3170
6.3516,-3467,-3215
6.3594,-3496,-3092
6.3672,-3484,-2966
6.3750,-3364,-2780
6.3828,-3266,-2821
6.3906,-3319,-2807
6.3984,-3318,-2739
6.4062,-3272,-2996
6.4141,-3198,-3093
6.4219,-3206,-2964
6.4297,-3292,-2967
6.4375,-3255,-2956
6.4453,-3219,-2850
6.4531,-3271,-3058
6.4609,-3428,-3083
6.4688,-3362,-2952
6.4766,-3233,-3010
6.4844,-3196,-2997
6.4922,-3253,-2931
6.5000,-3230,-3019
6.5078,-3085,-2978
6.5156,-3017,-2867
6.5234,-3200,-2953
6.5312,-3218,-3099
6.5391,-3117,-3145
6.5469,-3068,-3067
6.5547,-3108,-2725
6.5625,-3147,-2782
6.5703,-3322,-3261
6.5781,-3548,-3456
6.5859,-3731,-3289
6.5938,-3756,-3300
6.6016,-3783,-3249
6.6094,-3830,-3159
6.6172,-3817,-3259
6.6250,-3794,-3254
6.6328,-3780,-2962
6.6406,-3685,-3193
6.6484,-3710,-3634
6.6562,-3791,-3476
6.6641,-3858,-3298
6.6719,-3758,-3478
6.6797,-3855,-3488
6.6875,-3877,-3355
6.6953,-3786,-3145
6.7031,-3746,-3117
6.7109,-3694,-3489
6.7188,-3574,-3632
6.7266,-3721,-3432
6.7344,-3870,-3366
6.7422,-3782,-3534
6.7500,-3706,-3555
6.7578,-3783,-3382
6.7656,-3699,-3222
6.7734,-3667,-3341
6.7812,-3776,-3604
6.7891,-3868,-3600
6.7969,-3920,-3508
6.8047,-3947,-3567
6.8125,-3871,-3668
6.8203,-3922,-3612
6.8281,-3986,-3521
6.8359,-3840,-3654
6.8438,-3536,-3594
6.8516,-3139,-3367
6.8594,-2668,-3267
6.8672,-2394,-3119
6.8750,-2373,-2948
6.8828,-2344,-3083
6.8906,-2223,-3102
6.8984,-2335,-3003
6.9062,-2423,-3055
6.9141,-2233,-3058
6.9219,-2228,-3057
6.9297,-2406,-3067
6.9375,-2337,-2960
6.9453,-2405,-3171
6.9531,-2483,-3377
6.9609,-2405,-3166
6.9688,-2595,-3206
6.9766,-2656,-3337
6.9844,-2428,-3175
6.9922,-2444,-3116
7.0000,-2430,-3053
7.0078,-2153,-2833
7.0156,-2220,-3095
7.0234,-2354,-3495
7.0312,-2357,-3307
7.0391,-2546,-3074
7.0469,-2577,-3205
7.0547,-2254,-3244
7.0625,-2348,-3103
7.0703,-2464,-3221
7.0781,-2279,-3251
7.0859,-2214,-2997
7.0938,-2209,-3033
7.1016,-2135,-3228
