registro,lado,metodo_espectral,bandwidth_B,suavizado,mascara,modo,SpSmooth_s,shift_s,segundos_enmascarados,porcentaje_enmascarado,n,Pearson,MAE,RMSE,bias
L04301923,izquierda,Welch,,ewm,base,bilateral,30,7,31,0.4305555555555556,429720,0.9868239899733021,0.942408840171811,1.449807603423099,-0.020324710439439498
L04301923,izquierda,Welch,,rolling,ARTF2,bilateral,30,6,922,12.805555555555555,376380,0.9869875152379533,0.9722601896851082,1.4137703870510834,0.10204269681865615
L04301923,izquierda,Welch,,rolling,base,bilateral,30,6,31,0.4305555555555556,429780,0.9836234506805568,0.9935702715466393,1.5772528198947728,-0.021439239401205533
L05141322,derecha,CWT Morlet,0.5,ewm,ARTF2,bilateral,30,1,1014,37.389380530973455,101820,0.922209969918643,4.103187148930233,4.650396892060195,3.8435231977764097
L05141322,derecha,CWT Morlet,0.5,ewm,base,bilateral,30,6,28,1.0324483775811208,160680,0.9259103915866475,4.215135847563966,4.728326147788806,3.978699647180527
L05141322,derecha,CWT Morlet,0.5,rolling,ARTF2,bilateral,30,6,1014,37.389380530973455,101700,0.9318287515033974,4.171839436563254,4.66223622721847,3.979936999617769
L05141322,derecha,CWT Morlet,0.5,rolling,base,bilateral,30,6,28,1.0324483775811208,160680,0.9270606945082718,4.221188751458897,4.703235662077453,3.9756546488297557
L05141322,derecha,CWT Morlet,1.5,ewm,ARTF2,bilateral,30,1,1014,37.389380530973455,101820,0.9290394113074867,3.367708923093638,3.9297195890725884,3.0527776352114206
L05141322,derecha,CWT Morlet,1.5,ewm,base,bilateral,30,6,28,1.0324483775811208,160680,0.9336155647170368,3.439295681054485,3.9720566362632295,3.168998571933653
L05141322,derecha,CWT Morlet,1.5,rolling,ARTF2,bilateral,30,6,1014,37.389380530973455,101700,0.9396066172438851,3.400451893631512,3.912563295037742,3.1853668440825826
L05141322,derecha,CWT Morlet,1.5,rolling,base,bilateral,30,6,28,1.0324483775811208,160680,0.9358064595493046,3.438554009398808,3.941667141658303,3.167564350909169
L05141322,derecha,CWT Morlet,3.0,ewm,ARTF2,bilateral,30,1,1014,37.389380530973455,101820,0.9307571421615002,3.17026300097426,3.738629088950069,2.830172831856847
L05141322,derecha,CWT Morlet,3.0,ewm,base,bilateral,30,6,28,1.0324483775811208,160680,0.9359601395113932,3.2327676037897315,3.7722132730825493,2.950007547729434
L05141322,derecha,CWT Morlet,3.0,rolling,ARTF2,bilateral,30,6,1014,37.389380530973455,101700,0.9413528265436323,3.1945023060077595,3.7169710449877416,2.967386059776403
L05141322,derecha,CWT Morlet,3.0,rolling,base,bilateral,30,6,28,1.0324483775811208,160680,0.9382297712726583,3.2312029805049165,3.7429153671356077,2.9516012897522375
L05141322,derecha,CWT Morlet,6.0,ewm,ARTF2,bilateral,30,1,1014,37.389380530973455,101820,0.9323054024807887,3.0169306195261147,3.591484485693625,2.6582950900110567
L05141322,derecha,CWT Morlet,6.0,ewm,base,bilateral,30,6,28,1.0324483775811208,160680,0.9376720771742131,3.075962889023766,3.621866674996456,2.7823609450428552
L05141322,derecha,CWT Morlet,6.0,rolling,ARTF2,bilateral,30,6,1014,37.389380530973455,101700,0.9419080721373835,3.041739914416897,3.5762498424012614,2.7981480357009634
L05141322,derecha,CWT Morlet,6.0,rolling,base,bilateral,30,6,28,1.0324483775811208,160680,0.9394860544128985,3.076407858465866,3.5983452483529037,2.7851983386026355
