registro,modo,lado,metodo,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE
L05141322,bilateral,derecha,spectrogram,30,4,162420,0.9452273817339221,1.7428179022027488,2.3873538439249993
L05141322,bilateral,derecha,spectrogram,30,5,162360,0.9457291096390523,1.7367425822757974,2.3780594729475353
L05141322,bilateral,derecha,spectrogram,30,6,162300,0.9459089731866055,1.7372591406740052,2.374811003945357
L05141322,bilateral,derecha,spectrogram,30,7,162240,0.9457590129231942,1.7444767889645572,2.3778160075519557
L05141322,bilateral,derecha,spectrogram,30,8,162180,0.9452827382114544,1.7574346886686487,2.3869339834694174
L05141322,bilateral,derecha,spectrogram,30,9,162120,0.9444953077942716,1.7755139015435752,2.401845331313924
L05141322,bilateral,derecha,spectrogram,30,10,162060,0.9434138851406427,1.7985467707832643,2.422139310860275
L05141322,bilateral,derecha,spectrogram,30,11,162000,0.942057991686633,1.8257266986477698,2.447318748740539
L05141322,bilateral,derecha,spectrogram,30,12,161940,0.9404483439300507,1.8561035422802135,2.476847129060323
L05141322,bilateral,derecha,spectrogram,30,13,161880,0.9386083272704878,1.8891988055920355,2.510163965652338
L05141322,bilateral,derecha,spectrogram,30,14,161820,0.9365636589186696,1.9242186800926482,2.546644576813581
L05141322,bilateral,derecha,spectrogram,30,15,161760,0.9343405550516864,1.960760219220288,2.5857026465287203
L05141322,bilateral,derecha,spectrogram,30,16,161700,0.9319618111820254,1.9982172906034186,2.6268292693074904
L05141322,bilateral,derecha,spectrogram,30,17,161640,0.929449036299195,2.0362659587064353,2.669537201073971
L05141322,bilateral,derecha,spectrogram,30,18,161580,0.9268246795348825,2.0745799877114113,2.713407156414615
L05141322,bilateral,derecha,spectrogram,30,19,161520,0.9241100831664029,2.113448623146383,2.7580730936416096
L05141322,bilateral,derecha,spectrogram,30,20,161460,0.921327969936926,2.1524280687007287,2.8031122330448635
L05141322,bilateral,derecha,spectrogram,30,21,161400,0.9184994211902835,2.1914232312390047,2.848167314952966
L05141322,bilateral,derecha,spectrogram,30,22,161340,0.9156467937456086,2.2298184346915106,2.8928718103488
L05141322,bilateral,derecha,spectrogram,30,23,161280,0.9127881457172087,2.267436907376748,2.93698552110362
L05141322,bilateral,derecha,spectrogram,30,24,161220,0.9099393410172165,2.3039604217874756,2.9802959203392025
L05141322,bilateral,derecha,spectrogram,30,25,161160,0.9071101974014281,2.3394190615952875,3.0226534711704014
L05141322,bilateral,derecha,spectrogram,30,26,161100,0.9043124027780937,2.3740445804216352,3.0639399380999492
L05141322,bilateral,derecha,spectrogram,30,27,161040,0.90155821765785,2.4075423621069767,3.1039985675218715
L05141322,bilateral,derecha,spectrogram,30,28,160980,0.8988556631211019,2.4398350172966756,3.142810929373701
L05141322,bilateral,derecha,spectrogram,30,29,160920,0.8962151630829974,2.4710613128802184,3.180261933909098
L05141322,bilateral,derecha,spectrogram,30,30,160860,0.8936448526831566,2.5010297738498455,3.216288542214527
L04301923,bilateral,izquierda,Welch,30,0,3410220,0.9850119372428212,0.9466644083639388,1.630251240297613
L04301923,bilateral,izquierda,Welch,30,1,3410040,0.985468682679153,0.9252869688386088,1.6081790592651524
L04301923,bilateral,izquierda,Welch,30,2,3409860,0.9858919178980975,0.9055672549870111,1.5874843438883748
L04301923,bilateral,izquierda,Welch,30,3,3409680,0.9862808087993187,0.8878628308223837,1.5682583129571668
L04301923,bilateral,izquierda,Welch,30,4,3409500,0.9866315701790513,0.8727229773516926,1.5507639829194622
L04301923,bilateral,izquierda,Welch,30,5,3409320,0.9869109117199303,0.8626958590025162,1.536745601650538
L04301923,bilateral,izquierda,Welch,30,6,3409140,0.9870530061999697,0.8624089180252505,1.529705983813521
L04301923,bilateral,izquierda,Welch,30,7,3408960,0.9870550367334197,0.8720226369717173,1.5298859395368165
L04301923,bilateral,izquierda,Welch,30,8,3408780,0.9869385854343904,0.8897767011569198,1.5361716449735305
L04301923,bilateral,izquierda,Welch,30,9,3408600,0.9867139181535277,0.9138544809619429,1.5479660665468968
L04301923,bilateral,izquierda,Welch,30,10,3408420,0.9863974008643209,0.9425188770270108,1.5642933657507982
L04301923,bilateral,izquierda,Welch,30,11,3408240,0.9860136578084203,0.9742582149960721,1.5838314595903393
L04301923,bilateral,izquierda,Welch,30,12,3408060,0.985573731001482,1.0077806081712897,1.6059117353343768
L04301923,bilateral,izquierda,Welch,30,13,3407880,0.9850870404725655,1.0422099073349813,1.6299509997673622
L04301923,bilateral,izquierda,Welch,30,14,3407700,0.9845585612895904,1.0768060261162626,1.6556292268126505
L04301923,bilateral,izquierda,Welch,30,15,3407520,0.9839929393651174,1.111078206023597,1.6826307469812156
L04301923,bilateral,izquierda,Welch,30,16,3407340,0.9834084869452154,1.1445036238316404,1.710071338393374
L04301923,bilateral,izquierda,Welch,30,17,3407160,0.982808614643427,1.1769287641493742,1.737761968242895
L04301923,bilateral,izquierda,Welch,30,18,3406980,0.9822017418067291,1.2080911204259048,1.765312208430658
L04301923,bilateral,izquierda,Welch,30,19,3406800,0.981598249997289,1.2378291447440493,1.7922884442794909
L04301923,bilateral,izquierda,Welch,30,20,3406620,0.9810021242045145,1.2661120456571469,1.8185210526138467
L04301923,bilateral,izquierda,Welch,30,21,3406440,0.9804209223939802,1.2928289159796882,1.8437367279690315
L04301923,bilateral,izquierda,Welch,30,22,3406260,0.979863204148457,1.3178998196865712,1.8676189317014085
L04301923,bilateral,izquierda,Welch,30,23,3406080,0.9793297124629213,1.341331223832272,1.8901850852726174
L04301923,bilateral,izquierda,Welch,30,24,3405900,0.9788206069160137,1.3632064333171396,1.911467878692347
L04301923,bilateral,izquierda,Welch,30,25,3405720,0.9783387439372146,1.3834866435291342,1.9314035249725234
L04301923,bilateral,izquierda,Welch,30,26,3405540,0.9778851607947933,1.402232007602482,1.949981547694233
L04301923,bilateral,izquierda,Welch,30,27,3405360,0.9774622365851695,1.419432023164616,1.9671478563849003
L04301923,bilateral,izquierda,Welch,30,28,3405180,0.9770662915633613,1.4352488658417608,1.983074692405098
L04301923,bilateral,izquierda,Welch,30,29,3405000,0.9766997339194368,1.449633684590668,1.9977076046864686
L04301923,bilateral,izquierda,Welch,30,30,3404820,0.976362613316583,1.4626489421584923,2.0110642267324823
L04301923,bilateral,izquierda,spectrogram,30,0,3410220,0.9850119372428212,0.9466644083639388,1.630251240297613
L04301923,bilateral,izquierda,spectrogram,30,1,3410040,0.985468682679153,0.9252869688386088,1.6081790592651524
L04301923,bilateral,izquierda,spectrogram,30,2,3409860,0.9858919178980975,0.9055672549870111,1.5874843438883748
L04301923,bilateral,izquierda,spectrogram,30,3,3409680,0.9862808087993187,0.8878628308223837,1.5682583129571668
L04301923,bilateral,izquierda,spectrogram,30,4,3409500,0.9866315701790513,0.8727229773516926,1.5507639829194622
L04301923,bilateral,izquierda,spectrogram,30,5,3409320,0.9869109117199303,0.8626958590025162,1.536745601650538
L04301923,bilateral,izquierda,spectrogram,30,6,3409140,0.9870530061999697,0.8624089180252505,1.529705983813521
L04301923,bilateral,izquierda,spectrogram,30,7,3408960,0.9870550367334197,0.8720226369717173,1.5298859395368165
L04301923,bilateral,izquierda,spectrogram,30,8,3408780,0.9869385854343904,0.8897767011569198,1.5361716449735305
L04301923,bilateral,izquierda,spectrogram,30,9,3408600,0.9867139181535277,0.9138544809619429,1.5479660665468968
L04301923,bilateral,izquierda,spectrogram,30,10,3408420,0.9863974008643209,0.9425188770270108,1.5642933657507982
L04301923,bilateral,izquierda,spectrogram,30,11,3408240,0.9860136578084203,0.9742582149960721,1.5838314595903393
L04301923,bilateral,izquierda,spectrogram,30,12,3408060,0.985573731001482,1.0077806081712897,1.6059117353343768
L04301923,bilateral,izquierda,spectrogram,30,13,3407880,0.9850870404725655,1.0422099073349813,1.6299509997673622
L04301923,bilateral,izquierda,spectrogram,30,14,3407700,0.9845585612895904,1.0768060261162626,1.6556292268126505
L04301923,bilateral,izquierda,spectrogram,30,15,3407520,0.9839929393651174,1.111078206023597,1.6826307469812156
L04301923,bilateral,izquierda,spectrogram,30,16,3407340,0.9834084869452154,1.1445036238316404,1.710071338393374
L04301923,bilateral,izquierda,spectrogram,30,17,3407160,0.982808614643427,1.1769287641493742,1.737761968242895
L04301923,bilateral,izquierda,spectrogram,30,18,3406980,0.9822017418067291,1.2080911204259048,1.765312208430658
L04301923,bilateral,izquierda,spectrogram,30,19,3406800,0.981598249997289,1.2378291447440493,1.7922884442794909
L04301923,bilateral,izquierda,spectrogram,30,20,3406620,0.9810021242045145,1.2661120456571469,1.8185210526138467
L04301923,bilateral,izquierda,spectrogram,30,21,3406440,0.9804209223939802,1.2928289159796882,1.8437367279690315
L04301923,bilateral,izquierda,spectrogram,30,22,3406260,0.979863204148457,1.3178998196865712,1.8676189317014085
L04301923,bilateral,izquierda,spectrogram,30,23,3406080,0.9793297124629213,1.341331223832272,1.8901850852726174
